0.001015,0.001021,0.001016,0.001002,0.000978,0.000946,0.000905,0.000858,0.000806,0.000749
0.001060,0.001066,0.001062,0.001048,0.001023,0.000990,0.000948,0.000900,0.000845,0.000786
0.001097,0.001105,0.001101,0.001087,0.001062,0.001028,0.000985,0.000936,0.000879,0.000819
0.001127,0.001135,0.001132,0.001118,0.001093,0.001059,0.001016,0.000965,0.000908,0.000845
0.001148,0.001157,0.001154,0.001141,0.001116,0.001082,0.001038,0.000987,0.000929,0.000866
0.001160,0.001169,0.001167,0.001154,0.001130,0.001096,0.001053,0.001001,0.000943,0.000880
0.001162,0.001172,0.001171,0.001159,0.001136,0.001102,0.001059,0.001008,0.000950,0.000886
0.001155,0.001166,0.001165,0.001154,0.001131,0.001099,0.001056,0.001006,0.000949,0.000886
0.001138,0.001150,0.001150,0.001140,0.001118,0.001086,0.001045,0.000996,0.000940,0.000878
0.001113,0.001125,0.001126,0.001116,0.001096,0.001065,0.001026,0.000978,0.000923,0.000863
0.001079,0.001092,0.001093,0.001084,0.001065,0.001036,0.000998,0.000952,0.000900,0.000842
