0.000902,0.000912,0.000913,0.000905,0.000889,0.000864,0.000832,0.000794,0.000750,0.000701,0.000650
0.000949,0.000960,0.000962,0.000954,0.000937,0.000912,0.000879,0.000839,0.000793,0.000742,0.000688
0.000990,0.001002,0.001005,0.000997,0.000980,0.000954,0.000920,0.000879,0.000831,0.000778,0.000722
0.001025,0.001038,0.001041,0.001034,0.001017,0.000991,0.000956,0.000913,0.000864,0.000810,0.000752
0.001051,0.001065,0.001069,0.001063,0.001046,0.001020,0.000984,0.000941,0.000891,0.000836,0.000776
0.001070,0.001085,0.001089,0.001083,0.001067,0.001041,0.001005,0.000962,0.000911,0.000855,0.000794
0.001079,0.001095,0.001100,0.001095,0.001079,0.001053,0.001018,0.000975,0.000924,0.000867,0.000807
0.001080,0.001097,0.001103,0.001098,0.001083,0.001057,0.001022,0.000979,0.000929,0.000873,0.000812
0.001072,0.001089,0.001095,0.001091,0.001077,0.001052,0.001018,0.000976,0.000926,0.000871,0.000810
0.001055,0.001072,0.001079,0.001076,0.001062,0.001038,0.001005,0.000964,0.000916,0.000861,0.000802
0.001029,0.001047,0.001054,0.001051,0.001039,0.001016,0.000984,0.000945,0.000897,0.000845,0.000787
